"","name","sizeF","type","subtype","alignmentF","hit_points","hit_dice","strength","dexterity","constitution","intelligence","wisdom","charisma","legal","moral"
"1","A-mi-kuk","Huge","aberration","","chaotic evil",115,"10d12+50",21,8,20,7,14,10,"chaotic","evil"
"2","Aalpamac","Huge","monstrosity","","unaligned",136,"13d12+52",21,10,19,2,16,10,"unaligned","unaligned"
"3","Aatxe","Large","celestial","shapechanger","lawful good",105,"10d10+50",22,12,20,10,14,14,"lawful","good"
"4","Abaasy","Huge","giant","","neutral evil",126,"11d12+55",20,10,20,9,14,8,"neutral","evil"
"5","Abbanith Giant","Large","giant","","neutral",76,"9d10+27",20,9,17,10,13,11,"neutral","neutral"
"6","Aboleth","Large","aberration","","lawful evil",135,"18d10+36",21,9,15,18,15,18,"lawful","evil"
"7","Aboleth","Large","aberration","","",171,"18d10+72",20,12,18,20,20,18,"unaligned","unaligned"
"8","Aboleth, Nihilith","Large","undead","","chaotic evil",135,"18d10+36",21,9,15,18,15,18,"chaotic","evil"
"9","Aboleth Thrall","Medium","humanoid","","",45,"7d8+14",14,14,14,10,10,12,"unaligned","unaligned"
"10","Abominable Beauty","Medium","fey","","neutral evil",187,"22d8+88",17,18,18,17,16,26,"neutral","evil"
"11","Abominable Snowman","Large","monstrosity","","",136,"16d10+48",18,12,16,8,12,16,"unaligned","unaligned"
"12","Abominable Beauty","Medium","fey","","neutral evil",187,"22d8 + 88",17,18,18,17,16,26,"neutral","evil"
"13","Accursed Defiler","Medium","undead","","neutral evil",75,"10d8+30",19,14,17,6,15,14,"neutral","evil"
"14","Accursed Guardian Naga","Large","monstrosity","","",136,"16d10+48",16,18,16,16,18,18,"unaligned","unaligned"
"15","Accursed Spirit Naga","Large","monstrosity","","",85,"10d10+30",16,16,16,16,14,16,"unaligned","unaligned"
"16","Accursed Defiler","Medium","undead","","neutral evil",75,"10d8 + 30",19,14,17,6,15,14,"neutral","evil"
"17","Acid Ant","Small","monstrosity","","unaligned",13,"3d6+3",8,13,12,1,7,3,"unaligned","unaligned"
"18","Acolyte","Medium","humanoid","any race","any alignment",9,"2d8",10,10,10,10,14,11,"unaligned","unaligned"
"19","Acolyte","Medium","humanoid","","",11,"2d8+2",10,10,12,10,14,10,"unaligned","unaligned"
"20","Adult Amethyst Dragon","Huge","dragon","","",220,"21d12+84",18,20,18,22,14,20,"unaligned","unaligned"
"21","Adult Black Dragon","Huge","dragon","","chaotic evil",195,"17d12+85",23,14,21,14,13,17,"chaotic","evil"
"22","Adult Black Dragon","Huge","dragon","","",253,"22d12+110",22,14,20,14,12,16,"unaligned","unaligned"
"23","Adult Black Dragon Lich","Huge","undead","","",253,"22d12+110",22,14,20,14,12,16,"unaligned","unaligned"
